NOME_SUBTIPO_DE_CURSOS,CODIGO_CURSO,CURSO,EIXO_TECNOLOGICO,MODALIDADE,CARGA_HORARIA_CURSO,SITUACAO_ATIVO,CODIGO_UNIDADE_DE_ENSINO,UNIDADE_DE_ENSINO,UF,CODIGO_MUNICIPIO,MUNICIPIO
Técnico,53,Técnico em Contabilidade,Gestão e Negócios,Educação Presencial,800,t,46799,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - POLO DE APOIO PRESENCIAL DE DIVINÓPOLIS/MG,MG,3122306,Divinópolis
Técnico,6,Técnico em Enfermagem,Ambiente e Saúde,Educação Presencial,1200,t,50294,FACULDADE ANHANGUERA DE SALVADOR,BA,2927408,Salvador
Técnico,59,Técnico em Recursos Humanos,Gestão e Negócios,Educação Presencial,800,t,31592,FACULDADE PROMOVE DE SETE LAGOAS - UNIDADE SEDE - CAMPUS SETE LAGOAS,MG,3167202,Sete Lagoas
Técnico,59,Técnico em Recursos Humanos,Gestão e Negócios,Educação Presencial,800,t,46785,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI (UNIASSELVI) - Polo de Apoio Presencial de Campos Novos/SC,SC,4203600,Campos Novos
Técnico,8,Técnico em Estética,Ambiente e Saúde,Educação Presencial,1200,t,50155,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS - FMU - LIBERDADE - CLÍNICAS,SP,3550308,São Paulo
Técnico,151,Técnico em Publicidade,Produção Cultural e Design,Educação Presencial,800,t,47159,CENTRO UNIVERSITÁRIO DE VOLTA REDONDA (UNIFOA) - CAMPUS - VOLTA REDONDA - TRÊS POÇOS,RJ,3306305,Volta Redonda
Técnico,2,Técnico em Análises Clínicas,Ambiente e Saúde,Educação Presencial,1200,t,30451,UNIVERSIDADE PITÁGORAS UNOPAR - LONDRINA/PR - PIZA - SEDE,PR,4113700,Londrina
Técnico,6,Técnico em Enfermagem,Ambiente e Saúde,Educação Presencial,1200,t,32349,UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ - CAMPUS  - CHAPECÓ - EFAPI - CAMPUS SEDE_CHAPECÓ,SC,4204202,Chapecó
Técnico,139,TÉCNICO EM DESIGN DE INTERIORES,Produção Cultural e Design,Educação Presencial,1200,t,24461,UNIVERSIDADE CRUZEIRO DO SUL - CAMPUS: UNIDADE SEDE,SP,3550308,São Paulo
Técnico,53,Técnico em Contabilidade,Gestão e Negócios,Educação Presencial,800,t,46882,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - POLO DE APOIO PRESENCIAL DE SAPIRANGA/RS,RS,4319901,Sapiranga
Técnico,63,Técnico em Serviços Públicos,Gestão e Negócios,Educação Presencial,800,t,46490,FACULDADE FAMART - UNIDADE SEDE,MG,3133808,Itaúna
